Comment,Designator,Footprint,LCSC,Quantity
100nF,"C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C26,C34,C35,C7",C_0402,C1525,15
10kΩ,"R10,R11,R12,R13,R14,R29,R31,R7,R8,R9",R_0402,C25744,10
10uF,"C5,C6",C_0402,C15525,2
15pF,"C1,C2",C_0402,C1548,2
1kΩ,"R15,R17,R18,R19,R20,R21,R22,R23,R24,R5,R6",R_0402,C11702,11
1uF,"C25,C3,C4,C8,C9",C_0402,C52923,5
2.2uF,C45,C_0402,C12530,1
220pF,"C27,C28",C_0603,C1603,2
2N7002,"Q1,Q2,Q3,Q4",Q_SOT-23,C8545,4
3.3u,L1,L_pol_2016,C42411119,1
33Ω,"R1,R16,R2",R_0402,C25105,3
4.7uF,"C10,C11,C12,C13",C_0402,C23733,4
470Ω,R30,R_0402,C25117,1
5.1kΩ,"R27,R28",R_0402,C25905,2
600,"FB1,FB2",FB_0805,C1017,2
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
APS6404L-3SQRx-SN,U8,SOIC-8_3.9x4.9mm_P1.27mm,C5333729,1
BOOT,SW1,SW_TS-1088-AR02016,C720477,1
BTN1,J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,1
BTN2,J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,1
BTN3,J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,1
BTN4,J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,1
"Connector, USB-TYPE-C-16P",J1,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
DEBUG,J10,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,C160389,1
MAX98357A,U9,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,C910544,1
NCP1117-3.3_SOT223,U5,SOT-223-3_TabPin2,C26537,1
PWM1,J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,1
PWM2,J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,1
PWM3,J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,1
PWM4,J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,1
Qwiic0,J15,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C51940130,1
Qwiic1,J13,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C51940130,1
RP2350_80QFN,U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,C42415655,1
Smart Led,J12,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,C5184950,1
Speaker,J11,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,C424692,1
TXB0102DCT,U6,TSSOP-8_3x3mm_P0.65mm,C22469962,1
W25Q128JVS,U2,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
~{RESET},SW2,SW_TS-1088-AR02016,C720477,1
